Company Name,Location,Phone
Polleke te Hoogerheide Kinderdagverblijf,Aviolandalaan 20 4631 RM Hoogerheide,0164614168
PSZ Dolfijn / BSO Waterval / KDV Waterwereld,Maaslandlaan 1a 6004 GC Weert,0495-547927
PSZ Engel en Bengel / KDV Kinderkorf / BSO Op Stelten,Chopinstraat 5 6566 DV Millingen aan de rijn,0481-433859
PSZ Kleuterhofje,Kostverloren 7 1251 TN Laren nh,035-6926171
PSZ Pinkeltje / BSO Bij De Pinken,Hofstraat 15 7071 KA Ulft,0315-685985
Puk en Muk,Sebastiaanstraat 10 6011 RE Ell,0495-552278
Rakkertjes,Anjelierstraat 9 6002 TP Weert,0495-541065
Ratjetoe buitenschoolse opvang,Hogebergdreef 55b 4645 EV Putte,0164-614168
Regenboog,Sint Maartenslaan 40 6039 BL Stramproy,0495-564702
Rijckje,Emmasingel 58-60 7141 WP Groenlo,0544-465503
Robbedoes,Oranjelaan 2 6901 BL Zevenaar,0316-344375
Robinson Kinderopvang,Zinneveltlaan 6 2082 GS Santpoort-Zuid,0235394708
Roezemoes,Guido Gezellestraat 40 6901 KZ Zevenaar,0316-247890
Roezemoez,Nicolaas Pieckstraat 2 3232 BP Brielle,06-16198694
Rollebol kindercentra BV,Kennemerstraatweg 13 1814 GA Alkmaar,0725669028
Rolykids Kinderopvang,Binnenhof 72 C 3069 KV Rotterdam,0104360437
Rommelpot,Parklaan 26b 6039 BD Stramproy,0495-564005
Rovertjes,Zuivelplein 7 1097 XD Amsterdam,020 468 21 95
Rozemarijke,Marijkeplein 13 3181 GM Rozenburg zh,0181-212512
Sam Sam,Hoeflaan 5/A 4051 EM Ochten,0344645898
SamSam bso,Koelemaaier 1 4251 DT Werkendam,0183-408444
SamSam kinderdagverblijf,Richter 93 4251 DR Werkendam,0183-408444
Satu,Strandweg 32 3151 HV Hoek van Holland,0174388864
Schatkist,Jacob Catslaan 3 2741 XL Waddinxveen,06-57262912
SDK Kinderopvang,Noorderkroonstraat 164 3318 VT Dordrecht,0786226199
Servicebureau Kinderopvang,Piushaven 6 5017 AN Tilburg,013-583 80 40
Ska kinderopvang Boekweit Putten,Boekweitstraat 20 3882 GN Putten,0341 361 502
SKAR Kinderopvang,Wassenaarweg 40 6843 NW Arnhem,0900 235 75 27
SKAR Kinderopvang Centraal Kantoor,Wassenaarweg 40 6843 NW Arnhem,0900-BELSKAR (0900-2357527/lokaal tarief)
SKDD Kindcentrum de Petteflet,Jagerspad 4 3972 XL Driebergen-rijsenburg,0343 516 000
SKDD Kindcentrum Kroostakker,Akkerweg 40b 3972 AC Driebergen-Rijsenburg,0343 516 000
SKDD Kindcentrum Triangel,Kortenburglaan 13 3941 HP Doorn,0343 516 000
SKDD Kindcentrum ZieZoo,Perzikengaard 25 3941 LP Doorn,0343 516 000
SKDD Kinderdagverblijf het Speelpaleis,Jac. van Ruijsdaellaan 17 3941 ZE Doorn,0343 516 000
SKDD Kinderdagverblijf Olleke Bolleke,Engweg 24F 3972 JH Driebergen-rijsenburg,0343 516 000
SKE kinderopvang,Wethouder Nijhuisstraat 1 7545 NA Enschede,0534800020
SKIDkinderopvang locatie Koala Assen,p/a Spijkerboorsdijk 3 9468 CG Annen,0592-304190/0592-302909
SKRS,Lauriestraat 42 1741 CK Schagen,0224 298 363
SKSG,Hereweg 101 9721 AA Groningen,050 313 7727
SKSG Aduard,Burgemeester van Barneveldweg 21 9831 RD Aduard,06 13932714
SKSG Atlantis,Kiel 5 9733 EB Groningen,06 49494355
SKSG Baloe,Gerbrand Bakkerstraat 107 9713 HG Groningen,06 49675738
SKSG Barabas,Dirk Huizingastraat 13 9713 GL Groningen,06 49494430
SKSG Battello,Veenweg 1 9728 NH Groningen,050 525 6901
SKSG Bengelhuus,Noorderweg 61C 9804 RL Noordhorn,06 22918732
SKSG Bernewille,Verbindingsweg 7 9865 TE Opende,0594 659 744
SKSG Boegbeeld,Koerspad 3 9735 AK Groningen,050 541 2365
SKSG Break Out,Hoofdweg 163 9614 AD Harkstede,06 49494210
SKSG Bredero,Ina Boudierplantsoen 3 9721 XA Groningen,06 49494870
SKSG Bruintje Beer,Bankastraat 72 9715 CJ Groningen,050 571 7416
SKSG Bubbel,Spant 1 9356 EA Tolbert,06 15552332
SKSG Calcio,Laan Corpus Den Hoorn 101 9728 JR Groningen,06 49494611
SKSG Decibel,Meeuwerderweg 159 9724 ES Groningen,06 49493778
SKSG Dolfijn,Witte de Withstraat 18 9726 ED Groningen,06 25221820
SKSG Duimelot,Bloemersmastraat 1 9822 AA Niekerk,06 13932743
SKSG Engelbert,Woldjerspoorweg 5 5 9723 ER Groningen,050 549 0104
SKSG Flonkersteen,Siersteenlaan 484 9743 EZ Groningen,Siersteenlaan
SKSG Grootegast,Hoofdstraat 81 9861 AC Grootegast,06 13932366
SKSG Gruthoes,Schoolstraat 19 9883 PG Oldehove,06 13932577
SKSG Hummelhuis,Spilsluizen 3 9712 NR Groningen,050 313 1962
SKSG Kameleon,Onnemaheerd 6-1 9736 AM Groningen,050 549 4392
SKSG Kardinge,Kardingerplein 1 9735 AA Groningen,06 49494599
SKSG Kastanjeplein,Nieuwstad 12 9711 JP Groningen,050 313 98 28
SKSG Kids International,Rijksstraatweg 24 9752 AE Haren,06 21690221
SKSG Klavertje 3,J.C. Kapteynlaan 51 9714 CN Groningen,050 573 1677
SKSG Klavertje 6,Bilderdijklaan 123 9721 PT Groningen,050 526 1222
SKSG Krullevaar,Meeroeverslaan 312 9613 AE Groningen,050 230 6062
SKSG Lancelot,Maresiusstraat 22 9746 BH Groningen,06 49494871
SKSG Liekelei,Nijenoertweg 38 9351 HT Leek,0594 514 274
SKSG locatie UMCG,"Hanzeplein, ingang 29 1 9713 GZ Groningen",06 49494589
SKSG Lycurgus,Zilverlaan 10/2 9743 RK Groningen,050 317 1390
SKSG Melkweg,Poolsterlaan 2 9742 KR Groningen,050 571 8617
SKSG Merdeka,Molukkenstraat 1 9715 NR Groningen,050 579 1199
SKSG Naranja,H.W. Mesdagstraat 77 9718 HE Groningen,050 311 3430
SKSG Noordster,Rijksstraatweg 1 9801 AM Zuidhorn,06 10124152
SKSG Notenkraker,Sweelincklaan 2 9722 JV Groningen,050 526 7091
SKSG Optimist,Vaargeul 117 9732 JS Groningen,06 30333601
SKSG Oranje,Prinsesseweg 44 9717 BK Groningen,050 205 0650
SKSG Paddeltje,Loefzijde 4 9733 EA Groningen,050 541 8589
SKSG Paleis,Graaf Adolfstraat 73 9717 ED Groningen,06 22022725
SKSG Pierewiet,Klaprooslaan 13B 9713 SH Groningen,050 313 9685
SKSG Pinokkio,Hooiweg 3 9801 AJ Zuidhorn,06 53784526
SKSG Poolster,Huygensstraat 2 9727 JD Groningen,050 520 1819
SKSG Preschool,Chopinlaan 4 9722 KE Groningen,050 317 1390
SKSG Ranonkel,Zuiderweg 70-8 9744 AP Groningen,050 556 6564
SKSG Regenboog,Eikenlaan 288-3 9741 EW Groningen,050 573 4157
SKSG Rode Pimpernel,Emingaheerd 2 9736 GA Groningen,050 549 6975
SKSG Rodenburg,Rodenburg 2 9351 PV Leek,06 49494616
SKSG St. Franciscus,Star Numanstraat 52 9714 JS Groningen,06 49494354
SKSG Stadspark,Concourslaan 2 9727 KD Groningen,06 49494826
SKSG Ster,Verzetsstrijderslaan 2A 9727 CE Groningen,050 317 1390
SKSG Symfonie,Helper Brink 50 9722 ER Groningen,050 820 0984
SKSG Toermalijn,Siersteenlaan 480 9743 EZ Groningen,050 573 2088
SKSG Toverlantaarn Christoffel,Rode Kruislaan 73 9728 CT Groningen,050 526 0830
SKSG Toverlantaarn Tummetot,Lauwersstraat 3 9725 HD Groningen,050 525 9197
SKSG Vlindertuin,De Knip 1A 9351 XZ Leek,06 21638608
SKSG Vuurtoren,Anker 14A 9732 HV Groningen,050 549 4231
SKSG Waterrijk,Slenk 2 9746 RS Groningen,06 49641863
SKSG Woelwater,Admiraal Helfrichstraat 5 9801 EM Zuidhorn,0594 507 052
Small Society Bunschoten Kinderdagverblijf,Molenstraat 10 3752 CG Bunschoten spakenburg,0332990958
Smoesel,Margrietlaan 80 6006 ZZ Weert,06-20518856
Snorkelland,Zwartsluiskade 2 3826 EG Amersfoort,033-4340185
Snuffie Kinderdagverblijf,Gouden Leeuw 105 1103 KA Amsterdam Zuidoost,0206959973
Speeldoos,Leuvenstraat 1 5121 VC Rijen,06- 10696348
Speelkasteel,Ittervoorterweg 95 6005 NP Weert,0495-552284
Speelkwartier,Pastoor Bluemersplein 5 7064 BK Silvolde,06-81570978
SpeelOkee Kinderdagverblijf B.V.,Oost-Voorstraat 109 3262 JH Oud beijerland,0186625701
Spetter Buitenschoolse opvang,Aviolandalaan 20 4631 RM Hoogerheide,0164 614168
Spetters,Rijneiland 3 3984 MA Odijk,030- 6563833
Speuldoees,Sint Barbaraplein 2a 6005 SR Tungelroy,0495-561895
SSPOH/Compas,Postbus 104 5240 AC Rosmalen,073-8507824
St. Jozef,Grotestraat 142 5931 CZ Tegelen,077-3260855
St. Kinderopvang Oud Gastel,Veerkensweg 24 4751 CS Oud Gastel,0165513980
Stg. Kinderopvang Rolde,Drostenhof 2a 9451 KG Rolde,0592-242576
Stichting De Hoeksche School Kinderopvang,Biezenvijver 5 3297 GK Puttershoek,0186650020
Stichting Kindercentra Gorinchem,Vijfzinnenstraat 4/B 4201 JD Gorinchem,0183660692
Stichting Kinderopvang & peuterspeelzaal Irene,Marconiweg 2c 3112 EP Schiedam,0104142891
Stichting Kinderopvang Alkmaar,Kofschipstraat 10/A 1826 CG Alkmaar,0725147147
Stichting Kinderopvang en Peuterspeelzaalwerk Culemborg,Prijsseweg 45 4105 LE Culemborg,0345517477
STICHTING KINDEROPVANG HUIZEN,Postbus 3060 1270 EB Huizen,0355269999
Stichting Kinderopvang Kralingen,Oostzeedijk Beneden 41 A 3062 VL Rotterdam,0102400092
Stichting Kinderopvang Meijel,Kurversweg 4 5768 RS Meijel,0774664560
Stichting Kinderopvang Mundo,Marconiweg 2c 3112 EP Schiedam,010-2461133
Stichting Kinderopvang Noordoostpolder SKN,Europalaan 40 A 8303 GJ Emmeloord,0527620613
Stichting Kinderopvang Oegstgeest,Rustenburgerpad 2 2342 BT Oegstgeest,0715159800
stichting kinderopvang stampertjes,Godelindedwarsstraat 34 1402 WP Bussum,
Stichting Kinderopvang Zeeuwsch-vlaanderen,Bellamystraat 28 4532 CP Terneuzen,0115612368
Stichting Kinderspeelzalen Harderwijk,Postbus 1132 3840 BC Harderwijk,0341460183
Stichting Milou,schilperoortstraat 45a 3082 SP Rotterdam,0104517099
Stichting Opvang Anders,De Surmontstraat 49 1181 RV Amstelveen,0204414904
Stichting Peutercentra Arnhem,Mr. B.M. Teldersstraat 13 6842 CT Arnhem,0263523350
Stichting Peutersaen,Hendrick Rietschoofplein 2 1506 GV Zaandam,0757630510
Stichting Samenwijs Opvang en Onderwijs,Schoolstraat 38 5081 VH Hilvarenbeek,013-5057500
"Stichting Welluswijs centr adm, tevens locatie De Kameleon",Blanckvoortallee 6 7773 AH Hardenberg,0523 712 272
StipStap,Burg van Kluyvestraat 1 7091 AW Dinxperlo,0315-654590
Thuishuis Oole,Steiger 35 9732 EN Groningen,06-44181555
Tien,Dijckpotingen 4 3237 AK Vierpolders,06-27343327
Tieners & Co,Kerkstraat 21 6374 HH Landgraaf,045-5320632
TIKO kinderopvang,Voorstraat 34 9291 CK Kollum,0511543017
Til,Hoogvlietlaan 23 3235 BK Rockanje,0181-405840
Timboektoe,Goudmos 67 2914 AG Nieuwerkerk ad ijssel,0180-322389
TintelTuin,Klaprozenweg 75-F 1033 NN Amsterdam,088 078 0780
tkreekeltje,Lindenlaan 12 4554 BK Westdorpe,0115 450605
Toddie,Kanaalweg 1 1851 LP Heiloo,072-5333838
Tomtiedom Kinderdagverblijf,Boerhaavelaan 53 2334 EE Leiden,0718890287
Toverbal,Asschatterweg 36c 3831 JT Leusden,033-4941549
Toverberen,De Meent 3 3833 EA Leusden,033-4324761
Toverberg,Korenweg 43a 7064 BW Silvolde,0315-340520
Tovercirkel,Vullingsweg 64-66 6418 HV Heerlen,045-5431144
Trema Kinderopvang,Singel 16d 4255 HD Nieuwendijk nb,0183-408444
Twizon,Dr.de Brouwerlaan 74 5283 EE Boxtel,0411-707501
Up Kinderopvang,P. van Vlietlaan 8 2285 XM Rijswijk,070-7920220
Van Harte B.V.,Straelseweg 331 a 5916 AA Venlo,077-3512005
VANDAAG gastouderbureau De Wâlden,Noarder Stasjonsstrjitte 17 9271 CH De Westereen,0646776278
Viela Spring,Molenstraat 2A 5737 BW Lieshout,0499-423562
Villa Kakelbont,Doctor Keyzerlaan 21a 5051 PB Goirle,013-7500901
Villa Kakelbont,W. M. Dudokweg 43 1703 DA Heerhugowaard,072 572 0405
Villa Kakelbont Kinderdagopvang,markestraat 1a 9481 BH Vries,0592309609
Villa Lilla Kinderdagverblijf,De Omloop 13 1852 RJ Heiloo,0725090030
Villa op Stelten,Sint Jansstraat 1-03 5051 RG Goirle,06-51117440
Villa4kids,Statenlaan 105 5121 HC Rijen,0161-231310
VIPKids Boskoop B.V.,Gouwestraat 3 2771 CG Boskoop,06 33897975
Vlieger,Hermesweg 20 6432 CT Hoensbroek,045-5211710
Vrijbuiters,Kerkweg 64 6155 KN Puth,046-4495995
vrije kindeopvang eindhoven,Mimosaplein 1 5643 CJ Eindhoven,040-2110648
Waag,Waagstraat 10 5611 KZ Eindhoven,06-41401239
WatchOut,Meidoornstraat 2 6002 TZ Weert,0495-526378
Watergeusje,Anna Hoevestraat 4 3232 VC Brielle,0181-418713
Wegwijzer,Burg Haverkampstraat 1 7091 CN Dinxperlo,06-57205746
Wiedewei,Vroonlandseweg 49b 4421 BW Kapelle,0113-760349
Wiekslag,Molendijk 2a 3161 KM Rhoon,010-5013595
Willemijntje Kinderopvang BV,Wilhelminapark 55 5041 ED Tilburg,0135367953
Windekind,Van Weerden Poelmanstr 192 6417 ES Heerlen,06-53816667
Wiskids Kinderopvang,Voorstraat 58 2611 JS Delft,0152137542
Woelewippie Kinderopvang,Polderstraat 4 4815 AH Breda,0765717443
Wollewei,Wieenweg 6 6445 CD Brunssum,045-5272017
Wonderland Buitenschoolse Opvang,Mariastraat 20 2181 CT Hillegom,085-2733444
Wonderland Buitenschoolse Opvang,Vondellaan 35b 2332 AA Leiden,085-2733447
Wonderland Kinderopvang,Vondellaan 45 2332 AA Leiden,085-2733440
Wonderland Kinderopvang,Stationsweg 25 2182 BA Hillegom,085-2733443
Yesi de Jong,De Rival 39 9207 CV Drachten,06 21853338
Zandkasteel,Gruenepad 32 2203 EZ Noordwijk zh,071-3613944
Zeedistel,Uitvaltij 2 2201 WL Noordwijk zh,071-3612627
ZieZo kdv en bso,Pastoor Lipsplantsoen 8 4273 XX Hank,0183-408444
"Zigzag, verpleegkundige en gespecialiseerde kindzorg",Holenweg 14F 1624 PB Hoorn nh,
"Zigzag, verpleegkundige en gespecialiseerde kindzorg",Amsteldijk 196 1079 LK Amsterdam,0204941296
Zonne Kinderopvang,Donker Curtiusware 12 8014 TL Zwolle,
~Klein Camelot~ kleinschalige kinderopvang,Israel Queridolaan 70 1948 DJ Beverwijk,
‘t Pippi Huis,Delftweg 18 2289 AJ Rijswijk,06-19835206
